Trip,Parameters,UNITS,MAC,AO,OG,WESTLEECH,WEEKSOUT,TUNNEL,LEECHHEAD,CRAGGCREEK,CHRISCREEK,BONEYARD
6,Total Sodium (Na),mg/L,-,200,-,1.99,1.44,1.72,1.38,1.3,1.3,-
6,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,<3.0,<3.0,<3.0,<3.0,-
7,Total Hardness (CaCO3),mg/L,-,-,-,5.64,5.9,7.65,6.52,8.38,7.22,-
7,Total Mercury (Hg),ug/L,1,-,-,<0.0020,NA,<0.0020,<0.0020,<0.0020,<0.0020,-
7,Total Aluminum (Al),ug/L,-,-,100,83.4,161,72.1,117,69.4,40.2,-
7,Total Antimony (Sb),ug/L,6,-,-,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,-
7,Total Arsenic (As),ug/L,10,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
7,Total Barium (Ba),ug/L,1000,-,-,3,3.4,2.6,2.9,2.2,1.9,-
7,Total Beryllium (Be),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
7,Total Bismuth (Bi),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
7,Total Boron (B),ug/L,5000,-,-,<50,<50,<50,<50,<50,<50,-
7,Total Cadmium (Cd),ug/L,5,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
7,Total Chromium (Cr),ug/L,50,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
7,Total Cobalt (Co),ug/L,-,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
7,Total Copper (Cu),ug/L,-,1000,-,0.48,1.37,0.68,0.64,0.6,0.45,-
7,Total Iron (Fe),ug/L,-,300,-,24.5,122,32.1,68.2,14.6,13.2,-
7,Total Lead (Pb),ug/L,5,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
7,Total Manganese (Mn),ug/L,-,50,-,<1.0,7,<1.0,3.5,<1.0,<1.0,-
