trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA
3,6.877,Lab,QA-QC,CAL-VER_5.7ppm,NA,NA,QA-QC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,0.1889,Lab,QA-QC,RO_pH<2,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,6.601,Lab,QA-QC,CAL-VER_5.7ppm,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,0.1949,Lab,QA-QC,RO_pH<2,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,0,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,10.49,Weeks,Rack,L1,NA,65,DOC,0.697,17.656,14.038,NaN,42.0874,1.0001090015157015,4.289346305691088,-4.029261155815655,wet,4.012144899904671,4.012144899904671
4,9.184,Weeks,Rack,L2,NA,72,DOC,0.542,16.402,13.115,NaN,39.243449999999996,1.0000935697833309,4.2724625276606405,-3.0305453054530544,wet,4.273023736933798,4.273023736933798
4,8.504,Weeks,Rack,L3,NA,79,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,6.244,Weeks,Rack,L4,NA,86,DOC,0.375,10.855,8.287,NaN,26.008,0.9997160715806371,3.855514338707376,-4.181728557344726,wet,4.16527866752082,4.16527866752082
4,6.083,Weeks,Rack,L5,NA,90,DOC,0.463,12.184,9.39,NaN,29.18695,0.9998709862758574,3.907016866228917,-5.976456009913259,wet,4.79811770507973,4.79811770507973
4,9.166,Weeks,Rack,L6,NA,95,DOC,0.734,15.811,12.485,NaN,37.8477,0.9998643480962449,4.232357727058622,-8.231400966183575,wet,4.129140301112808,4.129140301112808
4,8.447,Weeks,Rack,L7,NA,105,DOC,0.643,15.681,12.377,NaN,37.66765,0.9995948191185668,4.170434338164045,-7.128772635814889,wet,4.459293240203623,4.459293240203623
4,8.753,Weeks,Grab,Grab,2018-12-07T20:15:00Z,50,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,4.542,ChrisCrk,Rack,L1,NA,25,DOC,0.193,7.512,6.005,NaN,18.027299999999997,0.9996555302181026,4.183577138022399,-0.8651911468812877,wet,3.9690224570673704,3.9690224570673704
4,4.739,ChrisCrk,Rack,L2,NA,29,DOC,0.182,8.11,6.456,NaN,19.4606,0.9993708236627253,4.109373411156983,-1.6570569064928555,wet,4.106478159949356,4.106478159949356
4,5.496,ChrisCrk,Rack,L3,NA,35,DOC,0.25,8.744,7.059,NaN,20.9817,0.9993256770229865,4.267876701611641,-0.7991930477963998,wet,3.817631004366812,3.817631004366812
4,6.675,ChrisCrk,Rack,L4,NA,41,DOC,0.336,9.649,7.704,NaN,23.13575,0.9987971530707901,4.275884096030662,-1.4729594891239273,wet,3.4660299625468167,3.4660299625468167
4,5.566,ChrisCrk,Rack,L5,NA,49,DOC,0.32,9.713,7.791,NaN,23.31915,0.9992462791815169,4.310577777777778,-1.0396749521988526,wet,4.1895706072583545,4.1895706072583545
4,4.489,ChrisCrk,Rack,L6,NA,63,DOC,0.243,8.628,6.837,NaN,20.7134,0.9991538345716942,4.1243430894932676,-1.1829947869854396,wet,4.614257072844731,4.614257072844731
4,3.968,ChrisCrk,Rack,L7,NA,71,DOC,0.166,7.944,6.17,NaN,19.0762,0.999444466522176,3.923032637179385,-3.139962476547842,wet,4.807510080645161,4.807510080645161
4,6.858,LeechHead,Rack,L1,NA,122,DOC,0.519,12.683,10.326,NaN,30.41185,0.9998599615653125,4.37022953539823,-1.1215301753901397,wet,4.434507144940216,4.434507144940216
4,7.422,LeechHead,Rack,L2,NA,129,DOC,0.504,12.41,9.938,NaN,29.79155,0.9996408521387746,4.306444705394764,-2.595375722543353,wet,4.013951765022905,4.013951765022905
4,6.149,LeechHead,Rack,L3,NA,133,DOC,0.391,11.675,9.329,NaN,27.97335,0.9997453776062092,4.251515504779669,-2.2371064969859344,wet,4.549251910879818,4.549251910879818
4,6.05,LeechHead,Rack,L4,NA,140,DOC,NaN,NaN,NaN,NaN,27.085250000000002,0.9996091486715734,4.154488425516876,-1.8199393479909025,wet,4.476900826446282,4.476900826446282
4,7.105,LeechHead,Rack,L5,NA,150,DOC,0.542,12.953,10.24,NaN,31.04335,0.9994604734254722,4.188598648613665,-3.8693063411729685,wet,4.369225897255454,4.369225897255454
4,7.385,LeechHead,Rack,L6,NA,172,DOC,0.537,13.349,10.567,NaN,31.98585,0.9992479386731621,4.241087643988367,-4.504421880117916,wet,4.3311916046039265,4.3311916046039265
4,6.939,LeechHead,Rack,L7,NA,180,DOC,0.622,12.883,10.109,NaN,30.8824,0.9994889694817927,4.148602502480575,-8.774722059684025,wet,4.4505548349906325,4.4505548349906325
