trip,vial,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis
19,12,7.262,Leech-head,Rack,L1,NA,105,DOC
19,13,8.115,Leech-head,Rack,L2,NA,117,DOC
19,14,4.02,Cragg-crk,Grab,Grab,2019-11-22T19:00:00Z,37,DOC
19,15,3.528,Cragg-crk,Rack,L1,NA,24,DOC
19,16,4.624,Cragg-crk,Rack,L2,NA,41,DOC
19,17,6.778,Cragg-crk,Rack,L3,NA,60,DOC
19,18,3.728,West-Leech,Grab,Grab,2019-11-22T16:45:00Z,28,DOC
19,19,4.485,West-Leech,Rack,L1,NA,27,DOC
19,20,6.391,West-Leech,Rack,L2,NA,47,DOC
19,21,8.296,West-Leech,Rack,L3,NA,65,DOC
19,22,9.479,West-Leech,Rack,L4,NA,76,DOC
19,23,4.31,Tunnel,Grab,Grab,2019-11-22T18:00:00Z,23,DOC
19,24,6.843,Tunnel,Rack,L1,NA,19,DOC
19,25,5.372,Tunnel,Rack,L2,NA,35,DOC
19,26,6.39,Tunnel,Rack,L3,NA,54,DOC
19,27,9.024,Tunnel,Rack,L4,NA,68,DOC
19,28,7.584,Tunnel,Rack,L5,NA,79,DOC
19,29,0.6061,Lab,QA-QC,tap-water,NA,NA,DOC
19,30,0.4427,Lab,QA-QC,RO,NA,NA,DOC
2,1,16.81,Weeks-out,Rack,L1,NA,30,DOC
2,2,19.07,Weeks-out,Rack,L2,NA,35,DOC
2,3,11.74,Weeks-out,Rack,L3,NA,40,DOC
2,4,12.93,Weeks-out,Rack,L4,NA,45,DOC
2,5,12.32,Weeks-out,Rack,L5,NA,50,DOC
2,6,10.66,Weeks-out,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
2,7,8.305,Leech-head,Rack,L1,NA,90,DOC
2,8,9.335,Leech-head,Rack,L2,NA,100,DOC
2,9,9.306,Leech-head,Rack,L3,NA,110,DOC
2,10,9.406,Leech-head,Rack,L4,NA,120,DOC
2,11,10.3,Leech-head,Rack,L5,NA,135,DOC
2,12,8.702,Leech-head,Grab,Grab,2018-11-06T20:20:00Z,NA,DOC
2,13,5.411,Chris-crk,Rack,L1,NA,30,DOC
2,14,7.486,Chris-crk,Rack,L2,NA,35,DOC
2,15,9.157,Chris-crk,Rack,L3,NA,45,DOC
2,16,7.041,Chris-crk,Rack,L4,NA,55,DOC
2,17,3.827,Chris-crk,Grab,Grab,2018-11-06T17:05:00Z,NA,DOC
2,18,5.07,Cragg-crk,Rack,L1,NA,22,DOC
2,19,6.541,Cragg-crk,Rack,L2,NA,35,DOC
2,20,8.087,Cragg-crk,Rack,L3,NA,45,DOC
2,21,8.219,Cragg-crk,Rack,L4,NA,50,DOC
2,22,8.152,Cragg-crk,Rack,L5,NA,75,DOC
2,23,5.232,Cragg-crk,Grab,Grab,2018-11-06T16:30:00Z,NA,DOC
2,24,9.483,West-Leech,Rack,L1,NA,40,DOC
2,25,10.36,West-Leech,Rack,L2,NA,45,DOC
2,26,7.526,West-Leech,Rack,L3,NA,56,DOC
2,27,10.95,West-Leech,Rack,L4,NA,69,DOC
2,28,8.726,West-Leech,Rack,L5,NA,75,DOC
2,29,4.635,West-Leech,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC
2,30,3.605,Weeks-Lake,Grab,Grab,2018-11-06T20:55:00Z,NA,DOC
2,31,5.573,Leech-downstreamconf,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC
2,32,3.609,West-Jordan,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
2,33,10.66,Jarvis,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
2,34,15.12,W.trib-to-Weeks,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
2,35,5.343,Boneyard,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC
2,36,8.357,Weeks-Gate,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
