StationName,DateTime,Temp,Rh,Rn_1,Mx_Spd,Dir
,DateTime,C,%,mm,kph,Degree
FWx Chris Creek,2018-09-13 14:00,14.1,68,0,17,287
FWx Chris Creek,2018-09-13 15:00,15.6,59,0,24,277
FWx Chris Creek,2018-09-13 16:00,13.8,73,0,21,262
FWx Chris Creek,2018-09-13 17:00,15.1,66,0,15,276
FWx Chris Creek,2018-09-13 18:00,12.5,79,0,14,284
FWx Chris Creek,2018-09-13 19:00,10,92,0,12,285
FWx Chris Creek,2018-09-13 20:00,7.8,95,0,6,45
FWx Chris Creek,2018-09-13 21:00,7.2,97,0,6,347
FWx Chris Creek,2018-09-13 22:00,7.8,98,0,9,320
FWx Chris Creek,2018-09-13 23:00,5.8,98,0,7,352
FWx Chris Creek,2018-09-14 0:00,5.2,98,0,6,2
FWx Chris Creek,2018-09-14 1:00,5,98,0,4,14
FWx Chris Creek,2018-09-14 2:00,4.8,99,0,5,28
FWx Chris Creek,2018-09-14 3:00,4.4,99,0,4,47
FWx Chris Creek,2018-09-14 4:00,4.3,99,0,4,346
FWx Chris Creek,2018-09-14 5:00,4.5,99,0,4,50
FWx Chris Creek,2018-09-14 6:00,5,99,0,4,41
FWx Chris Creek,2018-09-14 7:00,5.3,99,0,4,40
FWx Chris Creek,2018-09-14 8:00,7.5,98,0,5,246
FWx Chris Creek,2018-09-14 9:00,10,97,0,6,249
FWx Chris Creek,2018-09-14 10:00,12.5,71,0,8,300
FWx Chris Creek,2018-09-14 11:00,13.3,69,0,16,256
FWx Chris Creek,2018-09-14 12:00,14.3,55,0,19,217
FWx Chris Creek,2018-09-14 13:00,14.7,53,0,21,248
FWx Chris Creek,2018-09-14 14:00,14.4,57,0,27,218
FWx Chris Creek,2018-09-14 15:00,13.7,61,0,23,216
FWx Chris Creek,2018-09-14 16:00,12.6,68,0,23,233
FWx Chris Creek,2018-09-14 17:00,12.2,75,0,19,225
FWx Chris Creek,2018-09-14 18:00,11.2,77,0,17,254
FWx Chris Creek,2018-09-14 19:00,9.8,93,0.51,11,102
FWx Chris Creek,2018-09-14 20:00,9.2,95,0,6,92
FWx Chris Creek,2018-09-14 21:00,8.9,96,0.25,6,94
FWx Chris Creek,2018-09-14 22:00,8.5,96,0,6,55
FWx Chris Creek,2018-09-14 23:00,8,97,0,6,59
FWx Chris Creek,2018-09-15 0:00,8,97,0,5,69
FWx Chris Creek,2018-09-15 1:00,8.4,96,0.25,6,53
FWx Chris Creek,2018-09-15 2:00,8.2,97,0,6,66
FWx Chris Creek,2018-09-15 3:00,8.3,97,0.25,5,83
FWx Chris Creek,2018-09-15 4:00,8.3,97,0.25,5,59
FWx Chris Creek,2018-09-15 5:00,8.2,97,1.02,9,115
