trip,site,sample_type,sample,dt_sampled,fillStage_cm,analyte,result
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC254_Abs.m,7.589
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC436_Abs.m,0.183
10,Lab,QA-QC,RO,NA,NA,NPOC_ppm,0.8923
10,Lab,QA-QC,RO,NA,NA,Turbid.FTUeq,NA
10,Lab,QA-QC,RO,NA,NA,NO3.Neq_ppm,NA
10,Lab,QA-QC,RO,NA,NA,TOCeq_ppm,NA
10,Lab,QA-QC,RO,NA,NA,DOCeq_ppm,NA
10,Lab,QA-QC,RO,NA,NA,SAC254_Abs.m,NA
10,Lab,QA-QC,RO,NA,NA,SAC436_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,NPOC_ppm,1.266
11,Lab,QA-QC,RO,NA,NA,Turbid.FTUeq,NA
11,Lab,QA-QC,RO,NA,NA,NO3.Neq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,TOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,DOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,SAC254_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,SAC436_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,NPOC_ppm,1.082
11,Lab,QA-QC,RO,NA,NA,Turbid.FTUeq,NA
11,Lab,QA-QC,RO,NA,NA,NO3.Neq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,TOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,DOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,SAC254_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,SAC436_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,NPOC_ppm,1.041
11,Lab,QA-QC,RO,NA,NA,Turbid.FTUeq,NA
11,Lab,QA-QC,RO,NA,NA,NO3.Neq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,TOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,DOCeq_ppm,NA
11,Lab,QA-QC,RO,NA,NA,SAC254_Abs.m,NA
11,Lab,QA-QC,RO,NA,NA,SAC436_Abs.m,NA
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NPOC_ppm,6.959
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,Turbid.FTUeq,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NO3.Neq_ppm,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,TOCeq_ppm,4.721
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,DOCeq_ppm,3.806
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC254_Abs.m,9.283
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC436_Abs.m,0.209
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NPOC_ppm,6.959
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,Turbid.FTUeq,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NO3.Neq_ppm,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,TOCeq_ppm,4.663
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,DOCeq_ppm,3.76
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC254_Abs.m,9.17
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC436_Abs.m,0.191
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NPOC_ppm,6.959
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,Turbid.FTUeq,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,NO3.Neq_ppm,0
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,TOCeq_ppm,4.686
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,DOCeq_ppm,3.772
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC254_Abs.m,9.201
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,SAC436_Abs.m,0.195
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NPOC_ppm,4.788
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,Turbid.FTUeq,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NO3.Neq_ppm,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,TOCeq_ppm,2.518
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,DOCeq_ppm,2.11
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC254_Abs.m,5.146
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC436_Abs.m,0.134
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NPOC_ppm,4.788
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,Turbid.FTUeq,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NO3.Neq_ppm,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,TOCeq_ppm,2.476
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,DOCeq_ppm,2.17
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC254_Abs.m,5.292
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC436_Abs.m,0.158
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NPOC_ppm,4.788
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,Turbid.FTUeq,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,NO3.Neq_ppm,0
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,TOCeq_ppm,2.486
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,DOCeq_ppm,2.115
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC254_Abs.m,5.159
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,SAC436_Abs.m,0.132
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.568
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.076
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.063
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.13
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.497
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.124
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.18
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.146
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.507
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.127
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.188
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.149
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.552
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.123
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.178
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.158
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.482
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.161
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.27
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.173
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.066
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,Turbid.FTUeq,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NO3.Neq_ppm,0
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,TOCeq_ppm,2.494
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOCeq_ppm,2.138
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC254_Abs.m,5.215
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,SAC436_Abs.m,0.156
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,NPOC_ppm,6.125
