trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,0,0.11366666666666667,8.23,6.860333333333333,16.733,0.29066666666666663
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,0,0,2.965,2.562333333333333,6.249333333333333,0.158
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,0,0,3.7616666666666667,3.113,7.593,0.18966666666666665
11,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,0,0,2.493333333333333,2.131666666666667,5.199,0.14133333333333334
11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,0,0,2.5166666666666666,2.124833333333333,5.182333333333333,0.152
11,Cragg-crk,Grab,Grab,2019-06-28T19:30:00Z,NA,0,0,2.4313333333333333,2.121,5.172666666666666,0.145
11,Leech-head,Grab,Grab,2019-06-28T20:30:00Z,NA,0,0,3.667333333333333,3.1046666666666667,7.572666666666667,0.18533333333333332
11,Weeks-out,Grab,Grab,2019-06-28T20:45:00Z,NA,0.104,0.482,13.668333333333333,10.386,25.332,0.5023333333333333
11,Chris-crk,Grab,Grab,2019-06-28T21:20:00Z,NA,0,0,3.8213333333333335,3.344333333333333,8.157666666666668,0.20299999999999999
11,Jarvis,Grab,Grab,2019-06-28T22:10:00Z,NA,0,0.07666666666666667,7.185666666666666,6.030666666666667,14.709,0.2743333333333333
11,Lazar,Grab,Grab,2019-06-28T22:40:00Z,NA,0,0,2.8866666666666667,2.409,5.875666666666667,0.16766666666666666
11,Rithet,Grab,Grab,2019-06-28T23:15:00Z,NA,0,0,4.7523333333333335,3.8633333333333333,9.423333333333334,0.21533333333333332
11,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,0,0,4.69,3.779333333333333,9.218,0.19833333333333333
