source,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip,measurement,site,sample_type,sample,dt_sampled,fillStage_cm
Trip13,0,0.453,13.348,10.026,24.453,0.521,13,36,Weeks-out_aboveseep,Grab,Grab,2019-07-24T22:00:00Z,NA
Trip13,2.557,0.323,13.562,9.732,23.736,0.512,13,37,Weeks-out_seep,Grab,Grab,2019-07-24T22:30:00Z,NA
Trip13,1.569,0.386,13.475,9.778,23.849,0.524,13,38,Weeks-out_seep,Grab,Grab,2019-07-24T22:30:00Z,NA
Trip13,1.703,0.402,13.462,9.709,23.679,0.496,13,39,Weeks-out_seep,Grab,Grab,2019-07-24T22:30:00Z,NA
Trip15,0,0.375,3.953,3.517,8.578,0.164,15,1,Cragg-crk,Grab,Grab,2019-09-20T17:10:00Z,NA
Trip15,0,0.402,4.065,3.595,8.77,0.169,15,2,Cragg-crk,Grab,Grab,2019-09-20T17:10:00Z,NA
Trip15,0,0.403,4.07,3.629,8.851,0.181,15,3,Cragg-crk,Grab,Grab,2019-09-20T17:10:00Z,NA
Trip15,0,0.128,6.262,5.464,13.328,0.25,15,4,Chris-crk,Grab,Grab,2019-09-20T18:25:00Z,NA
Trip15,0,0.108,6.401,5.599,13.656,0.251,15,5,Chris-crk,Grab,Grab,2019-09-20T18:25:00Z,NA
Trip15,0,0.115,6.412,5.564,13.571,0.232,15,6,Chris-crk,Grab,Grab,2019-09-20T18:25:00Z,NA
Trip15,0,0.726,15.245,12.141,29.612,0.48,15,7,Weeks-out,Grab,Grab,2019-09-20T19:10:00Z,NA
Trip15,0,0.787,15.795,12.585,30.694,0.505,15,8,Weeks-out,Grab,Grab,2019-09-20T19:10:00Z,NA
Trip15,0,0.762,15.884,12.604,30.741,0.509,15,9,Weeks-out,Grab,Grab,2019-09-20T19:10:00Z,NA
Trip15,6.947,0.382,14.89,9.725,23.718,0.498,15,10,Weeks-out,Rack,L1,NA,NA
Trip15,7.574,0.401,14.911,9.628,23.484,0.524,15,11,Weeks-out,Rack,L1,NA,NA
Trip15,7.801,0.427,14.894,9.545,23.281,0.519,15,12,Weeks-out,Rack,L1,NA,NA
Trip15,0,0.389,9.425,8.038,19.605,0.323,15,13,West-Leech,Grab,Grab,2019-09-20T21:30:00Z,NA
Trip15,0,0.439,9.848,8.422,20.54,0.334,15,14,West-Leech,Grab,Grab,2019-09-20T21:30:00Z,NA
Trip15,0,0.434,9.93,8.417,20.529,0.315,15,15,West-Leech,Grab,Grab,2019-09-20T21:30:00Z,NA
Trip15,0,0.576,10.301,8.474,20.667,0.358,15,16,West-Leech,Rack,L1,NA,NA
Trip15,0.372,0.59,10.387,8.416,20.526,0.338,15,17,West-Leech,Rack,L1,NA,NA
Trip15,0.062,0.571,10.354,8.44,20.585,0.351,15,18,West-Leech,Rack,L1,NA,NA
Trip15,0,0.463,7.452,6.373,15.544,0.283,15,19,Tunnel,Grab,Grab,2019-09-20T22:30:00Z,NA
Trip15,0,0.431,7.244,6.256,15.258,0.281,15,20,Tunnel,Grab,Grab,2019-09-20T22:30:00Z,NA
Trip15,0,0.43,7.236,6.254,15.254,0.285,15,21,Tunnel,Grab,Grab,2019-09-20T22:30:00Z,NA
Trip16,0.381,NaN,20.921,16.826,41.04,0.629,16,1,Weeks-out,Grab,Grab,2019-10-12T21:30:00Z,40
Trip16,0,NaN,21.934,17.491,42.662,0.672,16,2,Weeks-out,Grab,Grab,2019-10-12T21:30:00Z,40
Trip16,0.037,NaN,22.099,17.67,43.098,0.683,16,3,Weeks-out,Grab,Grab,2019-10-12T21:30:00Z,40
Trip16,0,0.522,19.712,15.915,38.816,0.612,16,4,Weeks-out,Rack,L1,NA,31
Trip16,0,0.69,19.506,15.839,38.632,0.605,16,5,Weeks-out,Rack,L1,NA,31
Trip16,0.179,0.788,19.601,15.758,38.434,0.598,16,6,Weeks-out,Rack,L1,NA,31
Trip16,0,0.451,12.549,10.502,25.615,0.418,16,7,Leech-head,Grab,Grab,2019-10-12T18:45:00Z,95
Trip16,0,0.488,12.096,10.131,24.71,0.404,16,8,Leech-head,Grab,Grab,2019-10-12T18:45:00Z,95
Trip16,0,0.416,12.047,10.137,24.725,0.414,16,9,Leech-head,Grab,Grab,2019-10-12T18:45:00Z,95
Trip16,0,0.06,4.908,3.899,9.511,0.225,16,10,Leech-head,Rack,L1,NA,88
Trip16,0,0.038,4.409,3.5,8.536,0.22,16,11,Leech-head,Rack,L1,NA,88
Trip16,0,0.017,4.329,3.481,8.489,0.24,16,12,Leech-head,Rack,L1,NA,88
Trip16,0,0.061,5.56,4.837,11.797,0.217,16,13,Cragg-crk,Grab,Grab,2019-10-12T17:00:00Z,15
Trip16,0,0.073,5.585,4.903,11.958,0.209,16,14,Cragg-crk,Grab,Grab,2019-10-12T17:00:00Z,15
Trip16,0,0.057,5.461,4.84,11.804,0.213,16,15,Cragg-crk,Grab,Grab,2019-10-12T17:00:00Z,15
Trip16,0,0,5.158,4.487,10.945,0.2,16,16,Chris-crk,Grab,Grab,2019-10-12T23:00:00Z,NA
Trip16,0,0,5.149,4.518,11.02,0.222,16,17,Chris-crk,Grab,Grab,2019-10-12T23:00:00Z,NA
Trip16,0,0,5.171,4.488,10.947,0.222,16,18,Chris-crk,Grab,Grab,2019-10-12T23:00:00Z,NA
Trip16,1.419,0.079,5.137,4,9.756,0.199,16,19,West-Jordan,Grab,Grab,2019-10-12T22:00:00Z,NA
Trip16,1.634,0.098,5.119,3.927,9.579,0.183,16,20,West-Jordan,Grab,Grab,2019-10-12T22:00:00Z,NA
Trip16,1.024,0.079,5.041,3.968,9.678,0.202,16,21,West-Jordan,Grab,Grab,2019-10-12T22:00:00Z,NA
Trip16,0,0.817,19.721,16.57,40.414,0.611,16,22,Jarvis,Grab,Grab,2019-10-12T16:30:00Z,NA
Trip16,0,0.723,20.649,17.373,42.374,0.627,16,23,Jarvis,Grab,Grab,2019-10-12T16:30:00Z,NA
Trip16,0,NaN,20.626,17.301,42.197,0.628,16,24,Jarvis,Grab,Grab,2019-10-12T16:30:00Z,NA
Trip16,0,0.115,6.098,5.298,12.921,0.221,16,25,Lazar,Grab,Grab,2019-10-12T16:00:00Z,NA
Trip16,0,0.058,4.901,4.287,10.456,0.204,16,26,Lazar,Grab,Grab,2019-10-12T16:00:00Z,NA
Trip16,0,0,4.787,4.248,10.36,0.225,16,27,Lazar,Grab,Grab,2019-10-12T16:00:00Z,NA
Trip16,0,0.176,7.809,6.683,16.299,0.28,16,28,West-Leech,Grab,Grab,2019-10-12T16:00:00Z,18
Trip16,0,0.184,8.025,6.9,16.829,0.29,16,29,West-Leech,Grab,Grab,2019-10-12T16:00:00Z,18
Trip16,0,0.189,8.066,6.898,16.825,0.276,16,30,West-Leech,Grab,Grab,2019-10-12T16:00:00Z,18
Trip16,2.058,0.367,12.182,9.483,23.129,0.413,16,31,West-Leech,Rack,L1,NA,23
Trip16,1.728,0.408,12.393,9.644,23.522,0.413,16,32,West-Leech,Rack,L1,NA,23
Trip16,2.325,0.389,12.539,9.709,23.68,0.443,16,33,West-Leech,Rack,L1,NA,23
Trip16,0,0.145,7.472,6.27,15.292,0.275,16,34,Tunnel,Grab,Grab,2019-10-12T18:30:00Z,0
Trip16,0,0.148,7.055,6.001,14.637,0.258,16,35,Tunnel,Grab,Grab,2019-10-12T18:30:00Z,0
